domicilio_barrio,counts,pob,ratio
AGRONOMIA,30,13912,2.156411730879816
ALMAGRO,77,131699,0.5846665502395615
BALVANERA,70,138926,0.5038653671738912
BARRACAS,38,89452,0.4248088360237893
BELGRANO,46,126267,0.36430738039234317
BOCA,11,45113,0.24383215481125176
BOEDO,61,47306,1.2894770219422484
CABALLITO,166,176076,0.9427747109202844
CHACARITA,38,27761,1.3688267713699074
COGHLAN,24,18604,1.2900451515803053
COLEGIALES,44,52551,0.8372818785560693
CONSTITUCION,33,44107,0.7481805609086993
FLORES,109,164310,0.6633801959710304
FLORESTA,82,37575,2.1823020625415834
LINIERS,79,44132,1.790084292576815
MATADEROS,149,64436,2.312371965981749
MONSERRAT,19,39914,0.47602345041839955
MONTE CASTRO,64,33623,1.9034589417957946
NUEVA POMPEYA,46,42695,1.07740953273217
NUÃ‘EZ,18,51949,0.3464936764904041
PALERMO,179,226534,0.790168363247901
PARQUE AVELLANEDA,70,53229,1.3150726107948674
PARQUE CHACABUCO,87,56281,1.5458147509816813
PARQUE CHAS,74,17489,4.231231059523129
PARQUE PATRICIOS,30,40985,0.7319751128461632
PATERNAL,14,19717,0.7100471674189786
PUERTO MADERO,3,6726,0.44603033006244425
RECOLETA,47,157932,0.2975964339082643
RETIRO,20,65413,0.3057496216348432
SAAVEDRA,37,50295,0.7356596083109653
SAN CRISTOBAL,19,48611,0.39085803624694
SAN NICOLAS,22,29273,0.7515457930516175
SAN TELMO,5,20453,0.24446291497579817
VELEZ SARSFIELD,28,35081,0.7981528462700608
VERSALLES,21,13822,1.5193170308204311
VILLA CRESPO,61,81959,0.7442745763125465
VILLA DEL PARQUE,89,55273,1.6101894234074503
VILLA DEVOTO,117,66521,1.7588430721125659
VILLA GRAL. MITRE,48,34713,1.382767262985049
VILLA LUGANO,44,126374,0.34817288366277876
VILLA LURO,48,32502,1.4768321949418497
VILLA ORTUZAR,16,21736,0.736105999263894
VILLA PUEYRREDON,142,39654,3.5809754375346747
VILLA REAL,19,13419,1.4159028243535285
VILLA RIACHUELO,21,14084,1.4910536779324055
VILLA SANTA RITA,77,33325,2.310577644411103
VILLA SOLDATI,16,46779,0.34203381859381343
VILLA URQUIZA,168,91563,1.8348022672913733
